ID,Is_Lead
VBENBARO,0.03824506052811063
CCMEWNKY,0.8767809658578056
VK3KGA9M,0.05459157739710608
TT8RPZVC,0.027296216243635357
SHQZEYTZ,0.021701242377858004
MZZAQMPT,0.08631162773027093
Y88TW36I,0.0743830856660599
3UGOAQNU,0.052421668177563094
VVUKMUJT,0.9833519682507782
9R363ZXS,0.1401176412439608
BLISM6JE,0.05480414480540872
CH8S7JK7,0.2583892434571867
EAHDPXEJ,0.8396397213093028
BNUK9PRF,0.33701128949571163
GP2PG6FJ,0.055665125778791055
WNQCSN8A,0.04248924391043765
32DN4YVZ,0.42137617116479453
GXAMDANM,0.05277066257854054
MXETLUP4,0.07690325109115258
MPXK6TVE,0.8271817940038373
LBSIME2K,0.17439120939988906
D6ORJTM6,0.04979173192102536
HGDIBAKA,0.8147688148487306
UUZYL9DZ,0.44608279263069495
AUGE3VWK,0.05246666568189319
MX7GOX6Q,0.11177206872904827
TQN6K35W,0.07091803931603272
QQDRMQQN,0.4701557120484671
UP6GC6F4,0.0476913037020827
BMHBUVHB,0.6227386022642939
KGLDW86A,0.17245177516693896
FQEOMOP4,0.12233799602039636
DYWM5MEU,0.1719218487092154
DXHGXV8F,0.05046901949194245
AVFBFQKC,0.1648061218968529
DBIDKYMV,0.126704261847557
KYZHMEBY,0.2544953812670929
SSFEBUGF,0.05159194769391207
MGJTAG8X,0.48396131497559425
MP6BERDO,0.15487723185742644
GXZ8ED68,0.055567014804815545
ICTFGWQR,0.5661399590810691
EAYHTRKH,0.024349977980435963
6FN97QLQ,0.10092599267028665
3H5MZDDW,0.3570853560140478
2DXZZWSN,0.04902791217435738
MM4QIRE5,0.09075716516153116
HJWVYXUA,0.09930639988600966
RBRSJUP3,0.8254384910612766
YFRQKGXW,0.4376670756923177
N3SADEBV,0.05526236428743319
G2A2YYXY,0.04002929629624129
XMGA3WT3,0.045906496117005376
KVZQPSGI,0.17511672852970528
UAKARBBG,0.047291858856973915
WYKKL85Z,0.2042402569695704
GHNYYGRR,0.10064463006926709
UBAJANWT,0.05656813077067749
LSARSF7U,0.019949970614728946
4CNSJVVR,0.23935549827897412
JRHJSWYO,0.3583845256340204
FHZ8SVVI,0.07491868035405519
JUIRE47M,0.8589496964363059
GDIVN2GL,0.06276855956126044
WMF3DYE3,0.7966660089169648
MAQEHEWK,0.16296332139850664
2W8DLKFU,0.05792264233623204
AKGRML6H,0.11359427471379771
B7WUUGCY,0.043097678333262876
TLJOYATM,0.4459622313272951
UH6ZDM3W,0.8565601589810111
7IP5SSRR,0.7941568038629195
PV85PMEB,0.5150406838800817
FGDOY4NI,0.12908916913251067
7YYIXJQE,0.056848997040993804
BHW42XPW,0.0510489216519623
3PKEEAT4,0.30274925051091106
ACFPZ3LM,0.05645850304603685
6GORGNYN,0.8213699124230941
AEPQTMJK,0.2860767562892871
S6FNZFKK,0.05172286280026678
JTYNEKRQ,0.7266275880096472
GPXDPHHC,0.053455891842970726
O8TMKNNB,0.05642887391488745
XSQVHKYG,0.0534600860272017
MJ3CZRAE,0.021367433089303695
3NSQEYBJ,0.3822617421754541
SXVBASGH,0.05196344033643428
5ZIGZYSS,0.050374256927279745
FQSHBCUT,0.3700386978218748
MU45XUBP,0.05653973025568458
BVULDPBI,0.06328005052397419
82GRNPFG,0.8354924487017279
KKBNELBF,0.03656556217324728
